,precision,recall,f1-score,support
grammar,0.6866566716641679,0.5337995337995338,0.600655737704918,858.0
structure,0.7140575079872205,0.6144329896907217,0.6605097894347987,1455.0
clarity,0.733593604759249,0.8390389113331915,0.7827811942074985,4703.0
evidence,0.6494845360824743,0.36416184971098264,0.4666666666666667,519.0
argument,0.5085910652920962,0.354916067146283,0.4180790960451977,417.0
other,0.7723944875107666,0.8141171130276895,0.792707182320442,4406.0
style,0.6259469696969697,0.5409165302782324,0.5803336259877085,1222.0
accuracy,0.727761413843888,0.727761413843888,0.727761413843888,0.727761413843888
macro avg,0.6701035489989919,0.5801975707123763,0.6145333274810328,13580.0
weighted avg,0.7213135551537372,0.727761413843888,0.7198968219622983,13580.0
